algo,mode,L,beamwidth,trial,threads,qps,mean_us,p999_us,mean_ios,recall10,peak_rss_mb,wall_s
diskann,warm,50,4,1,1,686.567138671875,1455.7415,3932.0,66.671,97.627,1258.9,16.86
diskann,warm,50,4,2,1,687.4290771484375,1453.8766,4191.0,66.671,97.627,1259.0,16.84
diskann,warm,50,4,3,1,683.671630859375,1461.8871,4159.0,66.671,97.627,1259.7,16.94
diskann,warm,75,4,1,1,490.1588439941406,2039.3683,5946.0,90.9304,98.795,1260.5,22.68
diskann,warm,75,4,2,1,492.0779113769531,2031.4032,5961.0,90.9304,98.795,1259.8,22.61
diskann,warm,75,4,3,1,493.7987976074219,2024.3153,6064.0,90.9304,98.795,1259.6,22.52
diskann,warm,100,4,1,1,380.1048583984375,2630.0224,6474.0,115.4167,99.291,1259.7,28.58
diskann,warm,100,4,2,1,379.5069885253906,2634.1805,6779.0,115.4167,99.291,1259.7,28.67
diskann,warm,100,4,3,1,381.2565612792969,2622.0929,6635.0,115.4167,99.291,1259.3,28.58
diskann,warm,150,4,1,1,264.0580139160156,3786.1616,8153.0,164.795,99.7,1258.5,40.23
diskann,warm,150,4,2,1,262.3263244628906,3811.1465,7941.0,164.795,99.7,1259.2,40.44
diskann,warm,150,4,3,1,262.0066833496094,3815.807,7852.0,164.795,99.7,1259.8,40.45
diskann,warm,10,8,1,1,1718.812255859375,581.0239,1951.0,47.0337,87.66,1258.6,8.13
diskann,warm,10,8,2,1,1721.3658447265625,580.2054,1641.0,47.0337,87.66,1259.6,8.13
diskann,warm,10,8,3,1,1719.6341552734375,580.794,1968.0,47.0337,87.66,1259.9,8.12
diskann,warm,20,8,1,1,1413.5970458984375,706.6783,2503.0,55.0594,93.923,1260.2,9.37
diskann,warm,20,8,2,1,1389.6802978515625,718.8452,2256.0,55.0594,93.923,1260.3,9.46
diskann,warm,20,8,3,1,1414.0396728515625,706.4538,2294.0,55.0594,93.923,1259.8,9.36
diskann,warm,30,8,1,1,1192.857421875,837.5766,2478.0,63.2747,95.965,1259.2,10.69
diskann,warm,30,8,2,1,1201.771484375,831.3605,2537.0,63.2747,95.965,1260.7,10.6
diskann,warm,30,8,3,1,1188.021728515625,840.9759,2715.0,63.2747,95.965,1259.3,10.68
diskann,warm,50,8,1,1,883.3224487304688,1131.3276,3019.0,81.1162,97.865,1259.4,13.62
diskann,warm,50,8,2,1,882.7393188476562,1132.0796,3547.0,81.1162,97.865,1259.4,13.63
diskann,warm,50,8,3,1,882.3284912109375,1132.6064,3174.0,81.1162,97.865,1259.2,13.6
diskann,warm,75,8,1,1,661.41064453125,1511.0993,4189.0,104.6055,98.868,1260.1,17.37
diskann,warm,75,8,2,1,662.3070068359375,1509.0302,4566.0,104.6055,98.868,1259.6,17.37
diskann,warm,75,8,3,1,659.7798461914062,1514.8332,3854.0,104.6055,98.868,1260.1,17.45
diskann,warm,100,8,1,1,525.41943359375,1902.2909,4720.0,128.6695,99.315,1260.1,21.28
diskann,warm,100,8,2,1,526.11669921875,1899.8598,5504.0,128.6695,99.315,1259.5,21.27
diskann,warm,100,8,3,1,524.3650512695312,1906.1985,5180.0,128.6695,99.315,1260.2,21.34
diskann,warm,150,8,1,1,372.4183349609375,2684.2575,6096.0,177.519,99.713,1259.1,29.18
diskann,warm,150,8,2,1,371.32940673828125,2692.15,6538.0,177.519,99.713,1260.3,29.18
diskann,warm,150,8,3,1,371.0469665527344,2694.1709,6528.0,177.519,99.713,1259.7,29.24
