algo,dataset,variant,mode,ram_cap_bytes,params_json,threads,trial,recall1,recall10,recall100,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,bytes_read_total,bytes_read_per_query,bytes_per_query_app,ios_total,ios_per_query,simd_distance_calls,simd_avoided,cpu_user_s,cpu_sys_s,peak_rss_mb,wall_s,commit_sha
tapeann,sift10m,tape_int8,warm,,"{""probes"": 300}",1,1,98.84,98.704,,110.3994,9.058,8.5609,13.5093,15.9927,18.3206,0,0.0,49240021.4,4509,300.0,,1210315281,42.72,95.96,334.5,96.118,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 300}",1,2,98.84,98.704,,110.4539,9.0535,8.5468,13.5323,16.0309,18.3871,0,0.0,49240021.4,4509,300.0,,1210315281,42.66,95.96,335.2,96.081,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 300}",1,3,98.84,98.704,,112.1834,8.914,8.4,13.3348,15.949,17.6822,0,0.0,49240021.4,4509,300.0,,1210315281,41.32,94.59,335.2,94.683,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 500}",1,1,98.86,98.853,,68.7317,14.5493,13.9496,20.764,23.5736,26.3368,0,0.0,80516422.9,4509,500.0,,2272679765,64.6,154.24,509.0,154.443,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 500}",1,2,98.86,98.853,,68.7565,14.5441,13.9195,20.8988,23.5683,27.11,0,0.0,80516422.9,4509,500.0,,2272679765,64.41,154.25,508.5,154.398,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 500}",1,3,98.86,98.853,,68.6797,14.5603,13.9404,20.8647,23.8932,27.7531,0,0.0,80516422.9,4509,500.0,,2272679765,64.51,154.43,508.2,154.569,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 750}",1,1,98.88,98.881,,47.2284,21.1737,20.3581,29.3506,32.7577,39.0715,0,0.0,119079824.6,4509,750.0,,3742809636,89.69,224.68,720.2,224.862,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 750}",1,2,98.88,98.881,,47.1356,21.2154,20.3904,29.3786,32.7603,38.4837,0,0.0,119079824.6,4509,750.0,,3742809636,90.08,225.12,720.5,225.264,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 750}",1,3,98.88,98.881,,47.2292,21.1733,20.3926,29.3409,32.5538,37.2294,0,0.0,119079824.6,4509,750.0,,3742809636,89.68,224.67,721.0,224.833,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 1000}",1,1,98.88,98.889,,36.2832,27.561,26.6725,37.3798,40.9328,46.9513,0,0.0,157302132.7,4509,1000.0,,5324157777,113.11,292.63,933.0,292.773,bb380a795cd44062da32056f57301d3566b0f422
