algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,ios_per_query_median,ios_per_query_iqr,p99_ms_median,p99_ms_iqr,pareto_group
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 150, ""W"": 2}",1,1,99.688,0.0,6.1518,0.0,162.5311,0.0,691098.0,0.0,158.8968,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 150, ""W"": 4}",1,1,99.692,0.0,3.7671,0.0,265.3949,0.0,693449.5,0.0,165.1564,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 200, ""W"": 1}",1,1,99.827,0.0,13.9661,0.0,71.5973,0.0,889611.5,0.0,205.7394,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 200, ""W"": 2}",1,1,99.829,0.0,8.1386,0.0,122.8563,0.0,890369.6,0.0,208.6502,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 200, ""W"": 4}",1,1,99.833,0.0,4.9206,0.0,203.1892,0.0,892117.4,0.0,214.7213,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 10, ""W"": 1}",1,1,79.128,0.0,1.3401,0.0,745.7863,0.0,140598.1,0.0,18.0403,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 10, ""W"": 2}",1,1,80.444,0.0,0.9923,0.0,1007.045,0.0,156989.4,0.0,22.0609,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 10, ""W"": 4}",1,1,82.401,0.0,0.9093,0.0,1098.8352,0.0,191533.9,0.0,30.5555,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 20, ""W"": 1}",1,1,90.878,0.0,2.0527,0.0,486.9724,0.0,179127.1,0.0,27.482,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 20, ""W"": 2}",1,1,91.39,0.0,1.3716,0.0,728.6978,0.0,194612.8,0.0,31.2269,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
